path,gt,pred,conf,asr_text,translated
data/external/hf_dialects/zhengzhou/0033.wav,zhengzhou,zhengzhou,0.3000431954860687,,
data/external/hf_dialects/tianjin/0025.wav,tianjin,tianjin,0.3731406331062317,,
data/external/hf_dialects/tianjin/0049.wav,tianjin,zhengzhou,0.3268241882324219,,
data/external/hf_dialects/shanghai/0031.wav,shanghai,nanchang,0.3517102599143982,,
data/external/hf_dialects/shanghai/0023.wav,shanghai,shanghai,0.38947802782058716,,
data/external/hf_dialects/tianjin/0029.wav,tianjin,tianjin,0.39097484946250916,,
data/external/hf_dialects/changsha/0020.wav,changsha,changsha,0.9739222526550293,,
data/external/hf_dialects/tianjin/0028.wav,tianjin,tianjin,0.3294890522956848,,
data/external/hf_dialects/changsha/0017.wav,changsha,changsha,0.9917941093444824,,
data/external/hf_dialects/shanghai/0007.wav,shanghai,shanghai,0.5097903609275818,,
data/external/hf_dialects/shanghai/0015.wav,shanghai,shanghai,0.37026020884513855,,
data/external/hf_dialects/nanchang/0030.wav,nanchang,nanchang,0.373064786195755,,
data/external/hf_dialects/tianjin/0014.wav,tianjin,shanghai,0.36796846985816956,,
data/external/hf_dialects/changsha/0026.wav,changsha,changsha,0.9077510237693787,,
data/external/hf_dialects/tianjin/0018.wav,tianjin,tianjin,0.3196386992931366,,
data/external/hf_dialects/changsha/0027.wav,changsha,changsha,0.8596839904785156,,
data/external/hf_dialects/zhengzhou/0019.wav,zhengzhou,nanchang,0.3104253113269806,,
data/external/hf_dialects/shanghai/0018.wav,shanghai,shanghai,0.5500906705856323,,
data/external/hf_dialects/nanchang/0002.wav,nanchang,zhengzhou,0.2813473641872406,,
data/external/hf_dialects/tianjin/0042.wav,tianjin,tianjin,0.34425073862075806,,
data/external/hf_dialects/nanchang/0043.wav,nanchang,nanchang,0.4923577904701233,,
data/external/hf_dialects/nanchang/0042.wav,nanchang,nanchang,0.32586392760276794,,
data/external/hf_dialects/nanchang/0010.wav,nanchang,nanchang,0.3908669054508209,,
data/external/hf_dialects/zhengzhou/0006.wav,zhengzhou,zhengzhou,0.2824302613735199,,
data/external/hf_dialects/changsha/0012.wav,changsha,changsha,0.5744619369506836,,
data/external/hf_dialects/tianjin/0023.wav,tianjin,zhengzhou,0.3195217251777649,,
data/external/hf_dialects/shanghai/0001.wav,shanghai,shanghai,0.4668140709400177,,
data/external/hf_dialects/nanchang/0016.wav,nanchang,nanchang,0.41330698132514954,,
data/external/hf_dialects/changsha/0046.wav,changsha,changsha,0.9859815835952759,,
data/external/hf_dialects/changsha/0030.wav,changsha,changsha,0.9797766208648682,,
data/external/hf_dialects/shanghai/0024.wav,shanghai,zhengzhou,0.3050479292869568,,
data/external/hf_dialects/changsha/0010.wav,changsha,nanchang,0.35795858502388,,
data/external/hf_dialects/zhengzhou/0026.wav,zhengzhou,shanghai,0.3034971058368683,,
data/external/hf_dialects/zhengzhou/0031.wav,zhengzhou,zhengzhou,0.292117714881897,,
data/external/hf_dialects/tianjin/0038.wav,tianjin,tianjin,0.4366987943649292,,
data/external/hf_dialects/zhengzhou/0040.wav,zhengzhou,nanchang,0.3317716419696808,,
data/external/hf_dialects/tianjin/0006.wav,tianjin,tianjin,0.3666832149028778,,
data/external/hf_dialects/zhengzhou/0014.wav,zhengzhou,nanchang,0.2800292670726776,,
data/external/hf_dialects/zhengzhou/0027.wav,zhengzhou,nanchang,0.26321056485176086,,
data/external/hf_dialects/changsha/0005.wav,changsha,nanchang,0.4099186062812805,,
data/external/hf_dialects/nanchang/0001.wav,nanchang,nanchang,0.3575914800167084,,
data/external/hf_dialects/shanghai/0019.wav,shanghai,shanghai,0.2532922327518463,,
data/external/hf_dialects/shanghai/0020.wav,shanghai,shanghai,0.412494033575058,,
data/external/hf_dialects/nanchang/0014.wav,nanchang,nanchang,0.28969380259513855,,
data/external/hf_dialects/zhengzhou/0024.wav,zhengzhou,tianjin,0.2616235017776489,,
data/external/hf_dialects/changsha/0024.wav,changsha,nanchang,0.4257655441761017,,
data/external/hf_dialects/zhengzhou/0010.wav,zhengzhou,nanchang,0.2720823884010315,,
data/external/hf_dialects/nanchang/0020.wav,nanchang,nanchang,0.4590133726596832,,
data/external/hf_dialects/nanchang/0004.wav,nanchang,nanchang,0.43605443835258484,,
data/external/hf_dialects/shanghai/0011.wav,shanghai,shanghai,0.32502707839012146,,
